tag name	precision_score	recall_score	f1_score
B-ORG	  0.918		0.953		  0.935
B-PER	  0.997		0.99		  0.994
I-ORG	  0.949		0.928		  0.939
O	  0.999		0.997		  0.998
I-MISC	  0.896		0.957		  0.925
B-LOC	  0.957		0.962		  0.959
I-LOC	  0.924		0.933		  0.928
B-MISC	  0.972		0.971		  0.972
I-PER	  0.998		0.999		  0.998
